City	Jahr	stock	v	rent	emp	gva
Berlin	1990	14293338	0.6	25.56	NA	NA
Berlin	1991	14320938	0.7	28.63	NA	57572024000
Berlin	1992	14354538	1.3	28.63	NA	63231091000
Berlin	1993	14535338	1.4	25.56	567948	67663640000
Berlin	1994	14711538	2.3	20.96	573268	69686040000
Berlin	1995	15156038	5.4	17.38	566712	72275606000
Berlin	1996	15412238	7.1	15.34	562208	71235744000
Berlin	1997	16004038	8.2	16.36	555132	70387089000
Berlin	1998	16520838	9	18.92	554100	70182547000
Berlin	1999	16927138	8.6	19.94	555533	70130832000
Berlin	2000	17067338	7.6	20.96	570991	70541702000
Berlin	2001	17251338	6.8	20.96	572790	70915891000
Berlin	2002	17523538	7.6	18.7	572853	70977895000
Berlin	2003	17697208	9	16.9	567289	70383236000
Berlin	2004	17868708	9.5	15.2	566863	70119109000
Berlin	2005	17990508	9.3	14.9	568575	71331081000
Berlin	2006	18071000	9.1	15.3	576763	72665099000
Berlin	2007	18126066	8.6	15.5	590605	NA
Berlin	2008	18219986	8	15.9	NA	NA
Bochum	1990	1183795	1.5	7.45	NA	NA
Bochum	1991	1188993	1.5	8.02	52157	8688857000
Bochum	1992	1211847	1.7	8.59	53373	8907763000
Bochum	1993	1217150	2.6	9.16	54315	8532531000
Bochum	1994	1230201	3.3	8.59	54005	8813291000
Bochum	1995	1259161	4	8.59	53706	9427501000
Bochum	1996	1283299	3.9	8.02	54434	9287106000
Bochum	1997	1285573	3.9	8.02	54617	9660646000
Bochum	1998	1287459	3.5	8.02	54631	10221329000
Bochum	1999	1289955	3.5	8.3	55580	9878756000
Bochum	2000	1300355	3.5	8.82	57015	10084949000
Bochum	2001	1309075	3.4	9.41	56704	9569697000
Bochum	2002	1344675	3.7	9.43	56809	9734802000
Bochum	2003	1372355	4	9.2	55924	9877874000
Bochum	2004	1400123	4.4	9	55263	9917922000
Bochum	2005	1409243	4.4	9	55018	10035556000
Bochum	2006	1431230	4.8	9	55922	10516046000
Bochum	2007	1438621	5.3	9	56203	NA
Bochum	2008	1450140	5.6	9	NA	NA
Bonn	1990	2048536	1	14.32	NA	NA
Bonn	1991	2120883	0.9	15.34	92429	8798545000
Bonn	1992	2188547	0.9	15.34	97149	9376466000
Bonn	1993	2278050	0.9	16.36	99454	9718774000
Bonn	1994	2347779	0.9	15.34	100939	9988403000
Bonn	1995	2539944	1.4	14.32	98331	10181258000
Bonn	1996	2568356	1.8	14.32	101308	9933261000
Bonn	1997	2622809	1.7	12.78	101162	9785568000
Bonn	1998	2635437	1.7	11.25	103981	9856797000
Bonn	1999	2659649	1.7	10.48	105118	9911321000
Bonn	2000	2720849	1.8	10.74	101403	9847544000
Bonn	2001	2807719	2.8	11.76	99605	9901272000
Bonn	2002	2943719	5.1	11	100967	10803773000
Bonn	2003	3019709	5.6	10	100280	10214357000
Bonn	2004	3035434	6.3	10	100311	10401239000
Bonn	2005	3045921	5.6	9.5	100391	10553990000
Bonn	2006	3091048	4.9	9.5	102485	11343095000
Bonn	2007	3126663	4.3	10	101729	NA
Bonn	2008	3145958	4	10.5	NA	NA
Bremen	1990	1750648	0.6	6.65	NA	NA
Bremen	1991	1790448	0.6	6.65	108300	14039144768
Bremen	1992	1841748	0.8	7.16	111406	14590073000
Bremen	1993	1873948	0.8	8.18	112124	14660049457
Bremen	1994	1929248	0.5	9.2	112097	15230217000
Bremen	1995	1991548	1.2	9.2	108499	15597186000
Bremen	1996	2024648	1.7	10.23	106770	15586267000
Bremen	1997	2039248	2.5	9.2	106160	16236935000
Bremen	1998	2114848	4.1	8.69	104634	16398197000
Bremen	1999	2115048	3.2	8.69	104518	16389634000
Bremen	2000	2145548	2.3	8.69	105631	17058883000
Bremen	2001	2182608	3.8	8.7	107065	17638074000
Bremen	2002	2234798	5.1	8.5	108603	18154542000
Bremen	2003	2268968	5.7	8	109050	18430651000
Bremen	2004	2278403	5.5	7.5	107811	18870116000
Bremen	2005	2304405	5.2	7.5	107812	19102147000
Bremen	2006	2341975	4.9	7.5	108663	19596255000
Bremen	2007	2384395	4.6	7.5	111138	NA
Bremen	2008	2410035	4.6	7.5	NA	NA
Chemnitz	1990	832267	3.6	20.45	NA	NA
Chemnitz	1991	833117	3.6	20.45	NA	2872745971
Chemnitz	1992	834222	3.6	17.9	NA	3495270000
Chemnitz	1993	850797	6.5	15.34	58951	4158035608
Chemnitz	1994	880122	10.2	12.27	58352	4780523000
Chemnitz	1995	922537	11.9	11.25	56771	5182614000
Chemnitz	1996	959937	14.6	10.23	54988	5287742000
Chemnitz	1997	1126707	10.7	10.23	53375	5221257000
Chemnitz	1998	1167337	12	9.71	52581	5140875000
Chemnitz	1999	1182892	12.7	8.69	51461	5195214000
Chemnitz	2000	1190542	12.6	8.18	50526	5159975000
Chemnitz	2001	1198362	12.5	7.8	49363	5307940000
Chemnitz	2002	1202867	13.7	7.5	48958	5474351000
Chemnitz	2003	1217572	14.5	7.5	47580	5515297000
Chemnitz	2004	1229557	14.4	7	46865	5603464000
Chemnitz	2005	1240437	14.3	6.4	45897	5662326000
Chemnitz	2006	1242542	14.5	6.1	46423	5927950000
Chemnitz	2007	1244622	14.1	6.3	47778	NA
Chemnitz	2008	1246222	13.8	6.5	NA	NA
Cottbus	1990	429267	3.5	11.76	NA	NA
Cottbus	1991	429352	3.5	11.76	NA	1144307689
Cottbus	1992	429352	3.5	11.76	NA	1472098000
Cottbus	1993	439467	4.6	11.76	24650	1812514554
Cottbus	1994	467007	5.4	10.23	25347	2116604000
Cottbus	1995	487492	6.2	9.2	24845	2306921000
Cottbus	1996	504917	8.9	8.69	25196	2377929000
Cottbus	1997	515202	11.6	7.67	24924	2550511000
Cottbus	1998	532627	13.1	7.67	23769	2445198000
Cottbus	1999	549032	13.7	7.67	23265	2478709000
Cottbus	2000	554472	14.4	6.9	22783	2424650000
Cottbus	2001	565522	14.1	6.65	22150	2474276000
Cottbus	2002	567214	14.5	6.5	21199	2448668000
Cottbus	2003	567384	19.2	6.5	21310	2550306000
Cottbus	2004	585617	20.5	6.3	21775	2726286000
Cottbus	2005	585689	21.3	6.2	21109	2664984000
Cottbus	2006	583952	20.9	6.3	21020	2652221000
Cottbus	2007	585656	20.5	6.3	21426	NA
Cottbus	2008	586056	20.1	6.5	NA	NA
Dortmund	1990	1935561	0.9	9.2	NA	NA
Dortmund	1991	1962217	1	10.23	88822	11872704000
Dortmund	1992	2012696	1	11.25	90807	12311165000
Dortmund	1993	2037067	1.3	11.76	90930	12495303000
Dortmund	1994	2059787	2.7	11.76	90614	12396757000
Dortmund	1995	2071984	4.4	11.25	88318	12689906000
Dortmund	1996	2095039	4.8	10.74	87817	12436831000
Dortmund	1997	2110334	4	10.23	89289	13063019000
Dortmund	1998	2121557	3.1	9.71	89662	13204295000
Dortmund	1999	2134413	2.6	10.23	89503	12892017000
Dortmund	2000	2169937	2.2	10.23	93403	13226026000
Dortmund	2001	2218407	2.8	11.25	94352	13964482000
Dortmund	2002	2288447	4.3	10.5	95955	14166566000
Dortmund	2003	2308847	4.8	10.5	96096	14768783000
Dortmund	2004	2328567	4.9	10.5	97288	15638182000
Dortmund	2005	2389438	6.7	10.5	98156	16231353000
Dortmund	2006	2410093	6.4	10	97065	16700083000
Dortmund	2007	2414768	5.4	10	99880	NA
Dortmund	2008	2440570	3.9	10	NA	NA
Dresden	1990	1203941	0.4	20.45	NA	NA
Dresden	1991	1204791	0.4	20.45	NA	4768991946
Dresden	1992	1210401	0.4	17.9	NA	5889540000
Dresden	1993	1243976	0.4	15.34	93416	7040649314
Dresden	1994	1479086	8.7	13.29	99734	8123557000
Dresden	1995	1729786	12.9	12.27	100928	8998892000
Dresden	1996	2019686	17.8	12.27	100009	9365836000
Dresden	1997	2286486	17.5	11.25	98391	9493114000
Dresden	1998	2432186	19.3	10.23	97865	9595015000
Dresden	1999	2605286	10.4	9.2	98777	10014466000
Dresden	2000	2577086	11.6	8.44	100662	10286944000
Dresden	2001	2594086	13.5	8.3	102048	11089176000
Dresden	2002	2600886	11.2	8.3	102172	12002264000
Dresden	2003	2617886	11.5	7.8	102175	12756144000
Dresden	2004	2628766	11.8	7.6	102188	13492587000
Dresden	2005	2632931	11.8	7.4	104655	13104779000
Dresden	2006	2652932	11.6	7.4	107156	13367078000
Dresden	2007	2653357	11.3	8.4	111016	NA
Dresden	2008	2665257	11.1	8.4	NA	NA
Duisburg	1990	1130019	1.8	7.67	NA	NA
Duisburg	1991	1143823	1.7	9.2	64701	9794500000
Duisburg	1992	1156051	1.7	9.71	65631	9545452000
Duisburg	1993	1177186	2.5	10.23	65619	9405370000
Duisburg	1994	1185959	4.2	10.23	63707	9558653000
Duisburg	1995	1186763	5.1	10.23	61467	10554198000
Duisburg	1996	1205532	4.1	9.71	61674	10050325000
Duisburg	1997	1225140	4.9	9.2	61531	10202670000
Duisburg	1998	1254868	4	9.2	62585	10856039000
Duisburg	1999	1280706	3.9	9.2	63944	10592344000
Duisburg	2000	1293635	3.1	9.46	65115	10976782000
Duisburg	2001	1339195	3	9.71	64454	10942898000
Duisburg	2002	1365290	3.3	9.8	64067	10901651000
Duisburg	2003	1402265	3.4	9.5	65002	11479117000
Duisburg	2004	1428386	3.2	9.5	66416	11878899000
Duisburg	2005	1458774	4	9.5	65814	12262352000
Duisburg	2006	1464894	3.5	9.5	65704	12088845000
Duisburg	2007	1497945	3.3	10	66828	NA
Duisburg	2008	1510350	3	10.5	NA	NA
